<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2005.01.03	102.640	103.480	102.350	102.830	8906	0	30
2005.01.04	102.830	104.820	102.430	104.460	9487	0	30
2005.01.05	104.460	105.030	103.750	104.110	9131	0	30
2005.01.06	104.130	105.200	103.890	104.930	9771	0	30
2005.01.07	104.950	105.170	103.860	104.920	9419	0	30
2005.01.10	104.830	104.850	104.080	104.210	8157	0	30
2005.01.11	104.210	104.320	103.110	103.360	8932	0	30
2005.01.12	103.370	103.560	102.140	102.420	9167	0	30
2005.01.13	102.430	102.870	102.240	102.430	8694	0	30
2005.01.14	102.440	103.180	101.770	102.060	9501	0	30
2005.01.17	102.040	102.310	101.670	102.230	7603	0	30
2005.01.18	102.230	103.020	102.110	102.190	8900	0	30
2005.01.19	102.190	102.990	102.030	102.830	8890	0	30
2005.01.20	102.830	103.620	102.480	103.410	9613	0	30
2005.01.21	103.400	103.940	102.560	102.660	8742	0	30
2005.01.24	102.830	103.030	102.530	102.670	8254	0	30
2005.01.25	102.660	104.360	102.500	103.970	8909	0	30
2005.01.26	103.980	104.090	102.760	103.150	8803	0	30
2005.01.27	103.160	103.550	102.360	102.820	9030	0	30
2005.01.28	102.850	103.790	102.720	103.310	8410	0	30
2005.01.31	103.680	103.820	103.340	103.620	8163	0	30
2005.02.01	103.610	104.110	103.490	103.670	8172	0	30
2005.02.02	103.680	104.100	103.350	103.720	8194	0	30
2005.02.03	103.720	104.750	103.650	104.490	8797	0	30
2005.02.04	104.500	104.640	103.470	104.110	9035	0	30
2005.02.07	104.600	105.080	104.040	104.850	8467	0	30
2005.02.08	104.840	105.970	104.780	105.830	8901	0	30
2005.02.09	105.810	106.000	105.320	105.560	8904	0	30
2005.02.10	105.570	106.880	105.350	105.830	9157	0	30
2005.02.11	105.830	105.930	105.480	105.720	7794	0	30
2005.02.14	105.500	105.610	104.650	105.090	8326	0	30
2005.02.15	105.100	105.390	104.290	104.440	8659	0	30
2005.02.16	104.440	105.750	104.410	105.370	9027	0	30
2005.02.17	105.390	105.820	105.160	105.560	8282	0	30
2005.02.18	105.560	105.900	105.200	105.670	7718	0	30
2005.02.21	105.770	105.830	105.400	105.440	7024	0	30
2005.02.22	105.450	105.620	103.820	104.170	8872	0	30
2005.02.23	104.160	105.130	104.100	104.960	8723	0	30
2005.02.24	104.950	105.610	104.600	105.390	8946	0	30
2005.02.25	105.390	105.600	105.010	105.240	8111	0	30
2005.02.28	105.230	105.300	104.090	104.570	8598	0	30
2005.03.01	104.560	104.800	104.140	104.380	8197	0	30
2005.03.02	104.380	105.170	104.350	104.780	8667	0	30
2005.03.03	104.790	105.400	104.720	105.260	8105	0	30
2005.03.04	105.260	105.590	104.330	104.810	8016	0	30
2005.03.07	104.770	105.390	104.530	105.140	7619	0	30
2005.03.08	105.140	105.210	104.350	104.570	7951	0	30
2005.03.09	104.580	104.790	103.650	104.020	8788	0	30
2005.03.10	104.020	104.360	103.710	104.100	8788	0	30
2005.03.11	104.110	104.320	103.720	104.040	8846	0	30
2005.03.14	103.910	105.210	103.700	104.890	8559	0	30
2005.03.15	104.890	105.040	104.150	104.540	8776	0	30
2005.03.16	104.550	104.720	103.900	104.190	8797	0	30
2005.03.17	104.190	104.910	104.100	104.530	8733	0	30
2005.03.18	104.530	105.080	104.500	104.750	7848	0	30
2005.03.21	104.770	105.520	104.660	105.180	8450	0	30
2005.03.22	105.200	105.700	104.840	105.540	8739	0	30
2005.03.23	105.550	106.210	105.260	105.960	8975	0	30
2005.03.24	105.950	106.600	105.910	106.400	8459	0	30
2005.03.25	106.400	106.540	106.260	106.390	6312	0	30
2005.03.28	106.350	107.390	106.340	107.180	8214	0	30
2005.03.29	107.180	107.630	106.940	107.550	8539	0	30
2005.03.30	107.570	107.710	107.120	107.550	8503	0	30
2005.03.31	107.550	107.600	106.640	107.140	8842	0	30
2005.04.01	107.150	107.790	106.750	107.560	8984	0	30
2005.04.04	107.670	108.430	107.580	108.290	8327	0	30
2005.04.05	108.290	108.910	108.070	108.280	8206	0	30
2005.04.06	108.240	108.810	107.860	108.640	8564	0	30
2005.04.07	108.640	108.810	108.090	108.640	8365	0	30
2005.04.08	108.660	108.900	108.160	108.180	7816	0	30
2005.04.11	108.320	108.550	107.630	107.850	8186	0	30
2005.04.12	107.840	108.490	107.510	107.720	8642	0	30
2005.04.13	107.720	107.860	107.140	107.340	8269	0	30
2005.04.14	107.340	108.440	107.250	108.280	8690	0	30
2005.04.15	108.290	108.570	107.460	107.740	9131	0	30
2005.04.18	107.640	108.070	107.260	107.380	8406	0	30
2005.04.19	107.370	107.550	106.720	106.830	10859	0	30
2005.04.20	106.850	107.520	106.600	106.960	11321	0	30
2005.04.21	106.910	107.450	106.690	106.950	11123	0	30
2005.04.22	106.970	107.010	105.750	105.980	10759	0	30
2005.04.25	105.560	106.090	105.480	105.760	10685	0	30
2005.04.26	105.760	106.200	105.570	106.090	10485	0	30
2005.04.27	106.100	106.430	105.680	105.950	10637	0	30
2005.04.28	105.930	106.320	105.530	106.150	10522	0	30
2005.04.29	106.140	106.170	104.610	104.680	10962	0	30
2005.05.02	105.060	105.460	104.900	105.160	9635	0	30
2005.05.03	105.140	105.380	104.860	104.980	10161	0	30
2005.05.04	104.990	105.050	104.200	104.540	11005	0	30
2005.05.05	104.560	104.710	104.220	104.520	10467	0	30
2005.05.06	104.510	105.120	104.450	105.050	10195	0	30
2005.05.09	105.110	105.720	105.080	105.670	9978	0	30
2005.05.10	105.670	105.990	105.380	105.590	10033	0	30
2005.05.11	105.560	105.970	104.890	105.860	10874	0	30
2005.05.12	105.840	106.970	105.690	106.830	11166	0	30
2005.05.13	106.830	107.460	106.660	107.280	10513	0	30
2005.05.16	107.290	107.820	106.700	106.990	10738	0	30
2005.05.17	106.970	107.580	106.560	107.440	11047	0	30
2005.05.18	107.430	107.810	106.760	107.080	11118	0	30
2005.05.19	107.050	107.710	106.950	107.620	10679	0	30
2005.05.20	107.630	108.330	107.340	108.170	9987	0	30
2005.05.23	108.210	108.340	107.540	107.700	10341	0	30
2005.05.24	107.680	107.840	107.220	107.630	10387	0	30
2005.05.25	107.640	107.910	107.270	107.630	10165	0	30
2005.05.26	107.640	108.300	107.610	107.980	10893	0	30
2005.05.27	107.960	108.120	107.720	107.970	8382	0	30
2005.05.30	108.010	108.180	107.720	107.980	9071	0	30
2005.05.31	107.980	108.610	107.690	108.500	11224	0	30
2005.06.01	108.500	108.880	108.120	108.610	11435	0	30
2005.06.02	108.600	108.820	108.090	108.220	11104	0	30
2005.06.03	108.260	108.300	107.460	107.680	11096	0	30
2005.06.06	107.720	107.880	106.710	106.920	11120	0	30
2005.06.07	106.940	107.070	106.500	106.630	10532	0	30
2005.06.08	106.630	107.420	106.510	107.230	12164	0	30
2005.06.09	107.240	107.790	107.080	107.470	11730	0	30
2005.06.10	107.440	108.720	107.300	108.680	11513	0	30
2005.06.13	108.640	109.710	108.440	109.550	12574	0	30
2005.06.14	109.540	109.640	109.070	109.440	11953	0	30
2005.06.15	109.420	109.740	109.120	109.180	11949	0	30
2005.06.16	109.160	109.430	108.650	108.920	12243	0	30
2005.06.17	108.920	109.120	108.500	108.550	11330	0	30
2005.06.20	108.920	109.630	108.600	109.330	10797	0	30
2005.06.21	109.330	109.520	108.150	108.350	12210	0	30
2005.06.22	108.300	109.170	108.290	108.840	11927	0	30
2005.06.23	108.850	109.020	108.400	108.990	11757	0	30
2005.06.24	108.950	109.430	108.870	109.060	11160	0	30
2005.06.27	109.210	109.470	109.120	109.240	11264	0	30
2005.06.28	109.280	110.120	109.190	109.900	11950	0	30
2005.06.29	109.890	110.680	109.720	110.430	12320	0	30
2005.06.30	110.420	111.020	109.990	110.750	12666	0	30
2005.07.01	110.790	111.830	110.600	111.780	11268	0	30
2005.07.04	111.800	111.910	111.320	111.620	9300	0	30
2005.07.05	111.630	112.160	111.440	111.670	11635	0	30
2005.07.06	111.660	112.320	111.440	112.180	11036	0	30
