<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2005.01.01	0.78060	0.78140	0.78020	0.78060	19	0	50
2005.01.03	0.78220	0.78400	0.77240	0.77800	8338	0	40
2005.01.04	0.77810	0.78020	0.76340	0.76500	9154	0	40
2005.01.05	0.76490	0.76830	0.75940	0.76440	9011	0	40
2005.01.06	0.76430	0.76530	0.75750	0.76070	8702	0	40
2005.01.07	0.76070	0.76700	0.75390	0.75750	9296	0	40
2005.01.08	0.75770	0.75820	0.75610	0.75700	26	0	40
2005.01.10	0.75750	0.76120	0.75660	0.75750	7876	0	40
2005.01.11	0.75760	0.76440	0.75670	0.76170	8491	0	40
2005.01.12	0.76200	0.76980	0.75500	0.76670	8846	0	40
2005.01.13	0.76660	0.76890	0.76410	0.76550	8417	0	40
2005.01.14	0.76540	0.76600	0.75660	0.75880	9429	0	40
2005.01.15	0.75880	0.75920	0.75880	0.75920	16	0	40
2005.01.17	0.75850	0.76200	0.75710	0.75780	6680	0	40
2005.01.18	0.75770	0.75910	0.75050	0.75550	8975	0	40
2005.01.19	0.75530	0.76540	0.75350	0.76040	8960	0	40
2005.01.20	0.76060	0.76240	0.75700	0.75890	8607	0	40
2005.01.21	0.75880	0.77180	0.75700	0.76920	8986	0	40
2005.01.22	0.76930	0.76930	0.76670	0.76780	37	0	40
2005.01.24	0.77030	0.77200	0.76820	0.77020	7398	0	40
2005.01.25	0.76970	0.77280	0.76270	0.76520	8042	0	40
2005.01.26	0.76510	0.77630	0.76390	0.77510	8064	0	40
2005.01.27	0.77510	0.77810	0.77300	0.77750	8632	0	40
2005.01.28	0.77740	0.78060	0.77090	0.77510	8467	0	40
2005.01.29	0.77470	0.77550	0.77450	0.77490	32	0	40
2005.01.31	0.77390	0.77670	0.77170	0.77570	7509	0	40
2005.02.01	0.77580	0.77630	0.76960	0.77400	7772	0	40
2005.02.02	0.77400	0.77900	0.77190	0.77780	7864	0	40
2005.02.03	0.77810	0.77860	0.76720	0.77100	8327	0	40
2005.02.04	0.77100	0.77590	0.76810	0.77020	8523	0	40
2005.02.05	0.77030	0.77050	0.76990	0.76990	20	0	40
2005.02.07	0.76760	0.77400	0.76650	0.76700	8003	0	40
2005.02.08	0.76780	0.76800	0.76100	0.76630	8709	0	40
2005.02.09	0.76630	0.77140	0.76300	0.77070	8288	0	40
2005.02.10	0.77060	0.78400	0.76980	0.78330	8850	0	40
2005.02.11	0.78330	0.78670	0.78090	0.78610	7803	0	40
2005.02.12	0.78620	0.78660	0.78520	0.78580	29	0	40
2005.02.14	0.78590	0.78930	0.78430	0.78810	7572	0	40
2005.02.15	0.78810	0.78840	0.78250	0.78760	8791	0	40
2005.02.16	0.78770	0.78770	0.77860	0.78440	8610	0	40
2005.02.17	0.78430	0.78970	0.78250	0.78790	7863	0	40
2005.02.18	0.78800	0.79000	0.78290	0.78820	8259	0	40
2005.02.19	0.78830	0.78880	0.78790	0.78860	29	0	40
2005.02.21	0.78930	0.79050	0.78600	0.78970	5871	0	40
2005.02.22	0.78970	0.79590	0.78660	0.79480	8223	0	40
2005.02.23	0.79480	0.79510	0.78440	0.78640	8911	0	40
2005.02.24	0.78620	0.79100	0.78410	0.78660	8797	0	40
2005.02.25	0.78660	0.78860	0.78070	0.78650	8853	0	40
2005.02.26	0.78640	0.78710	0.78620	0.78710	43	0	40
2005.02.28	0.78660	0.79490	0.78570	0.79180	7812	0	40
2005.03.01	0.79180	0.79340	0.78310	0.78710	8586	0	40
2005.03.02	0.78710	0.78860	0.77710	0.78290	9108	0	40
2005.03.03	0.78290	0.78530	0.78020	0.78300	7758	0	40
2005.03.04	0.78290	0.79360	0.78110	0.79070	8339	0	40
2005.03.05	0.79080	0.79110	0.79050	0.79080	48	0	40
2005.03.07	0.78960	0.79340	0.78840	0.79230	6944	0	40
2005.03.08	0.79200	0.79900	0.79130	0.79860	8214	0	40
2005.03.09	0.79870	0.79890	0.79080	0.79320	8988	0	40
2005.03.10	0.79320	0.79840	0.78700	0.79110	9406	0	40
2005.03.11	0.79090	0.79590	0.78750	0.79260	8446	0	40
2005.03.12	0.79300	0.79350	0.79240	0.79240	9	0	40
2005.03.14	0.79290	0.79410	0.78590	0.78750	6741	0	40
2005.03.15	0.78740	0.79410	0.78630	0.79090	8315	0	40
2005.03.16	0.79080	0.79580	0.78730	0.79300	8230	0	40
2005.03.17	0.79370	0.79520	0.79060	0.79360	8252	0	40
2005.03.18	0.79350	0.79530	0.78860	0.79500	7932	0	40
2005.03.19	0.79500	0.79510	0.79460	0.79510	25	0	40
2005.03.21	0.79360	0.79450	0.78440	0.78540	8123	0	40
2005.03.22	0.78530	0.79290	0.78190	0.78310	8674	0	40
2005.03.23	0.78290	0.78320	0.76970	0.77240	9225	0	40
2005.03.24	0.77260	0.77420	0.77020	0.77270	8191	0	40
2005.03.25	0.77260	0.77390	0.77080	0.77160	4632	0	40
2005.03.26	0.77130	0.77240	0.77130	0.77230	4	0	40
2005.03.28	0.77220	0.77280	0.76680	0.76890	7364	0	40
2005.03.29	0.76880	0.77530	0.76720	0.77040	8231	0	40
2005.03.30	0.77050	0.77440	0.76920	0.77000	8170	0	40
2005.03.31	0.77000	0.77780	0.76970	0.77230	7925	0	40
2005.04.01	0.77240	0.77660	0.76810	0.77090	8681	0	40
2005.04.02	0.77090	0.77150	0.77070	0.77100	136	0	40
2005.04.04	0.76890	0.77110	0.76510	0.76780	7472	0	40
2005.04.05	0.76770	0.76990	0.76280	0.76930	8001	0	40
2005.04.06	0.76910	0.76920	0.76350	0.76470	8059	0	40
2005.04.07	0.76480	0.77100	0.76270	0.76620	8302	0	40
2005.04.08	0.76600	0.77380	0.76490	0.77180	7593	0	40
2005.04.09	0.77170	0.77250	0.77150	0.77200	12	0	40
2005.04.11	0.77150	0.77600	0.77040	0.77520	7262	0	40
2005.04.12	0.77530	0.77750	0.77190	0.77540	7963	0	40
2005.04.13	0.77540	0.78060	0.77430	0.77790	7914	0	40
2005.04.14	0.77770	0.77850	0.76940	0.77020	8225	0	40
2005.04.15	0.77020	0.77250	0.76520	0.76820	8240	0	40
2005.04.16	0.76830	0.76860	0.76770	0.76840	93	0	40
2005.04.18	0.76860	0.76980	0.76350	0.76790	7950	0	40
2005.04.19	0.76790	0.77210	0.76470	0.77180	8212	0	40
2005.04.20	0.77170	0.77730	0.77060	0.77600	8410	0	40
2005.04.21	0.77590	0.77740	0.77350	0.77590	7771	0	40
2005.04.22	0.77580	0.78350	0.77430	0.78110	7711	0	40
2005.04.23	0.78170	0.78170	0.78020	0.78070	38	0	40
2005.04.25	0.78200	0.78200	0.77780	0.78070	7287	0	40
2005.04.26	0.78070	0.78150	0.77630	0.77790	7540	0	40
2005.04.27	0.77800	0.77890	0.77430	0.77690	7677	0	40
2005.04.28	0.77690	0.78220	0.77480	0.77900	7715	0	40
